686 105 764 2696
1554 3110 896 247
2516 2852 976 1135
1478 551 1381 2945
4 115 79 1730
348 2013 1698 1359
1200 1096 1720 1258
1271 2801 1259 661
392 837 297 2530
740 549 1095 2968
234 1909 2113 665
2061 2486 577 1045
3118 1138 2150 143
1933 1188 1964 1738
1334 1205 1728 1188
234 3070 1390 1637
2723 794 882 2334
441 807 293 359
390 422 1260 1749
170 1068 1136 887
1432 2510 1450 1914
604 1796 2377 1005
1673 3037 1885 517
494 1697 2126 1220
8 718 2119 919
2925 593 1682 121
1036 3072 2622 589
1809 343 2277 760
1552 1178 2676 2155
2820 2985 2427 1307
1976 2234 1682 264
1993 1741 4 1401
2776 1901 1065 2479
1723 2809 2022 922
299 2391 458 1787
2637 595 42 190
801 383 1417 2612
2677 1547 1724 2820
349 2576 39 1445
2114 512 2688 495
2142 235 1884 2542
2749 506 2019 2692
1208 1370 1802 1817
175 2189 422 2012
2230 161 1918 1876
2627 439 2224 981
366 209 1983 1326
1256 1429 560 805
291 1137 2494 1494
586 1194 1417 717
2479 2653 210 321
2884 2985 1742 851
663 1673 2324 3044
2001 227 1996 1623
158 1005 1879 741
105 1366 2234 1344
27 978 140 2710
1892 2461 917 1242
1244 363 2783 2687
2084 2172 2684 443
59 828 760 1390
2064 1471 110 705
1597 211 519 1724
487 10 1208 701
1080 2288 982 1533
72 832 2641 1834
2280 735 2083 1293
918 1876 1919 309
2956 3037 2272 1132
761 493 2111 2686
1820 849 2721 2851
1078 627 2225 279
411 368 835 164
2291 2123 833 843
122 1291 2827 256
1332 2022 1359 35
750 2489 1978 472
1760 1876 689 142
1227 1508 1158 994
255 651 1972 1796
2230 368 116 629
864 256 1777 587
3091 3145 1514 2007
172 2306 1393 1156
491 1482 594 1776
582 2405 1001 2285
909 1682 2065 2149
2791 2555 1944 2040
1251 378 1243 1263
2325 2044 1970 2024
1936 2384 1154 518
1498 2015 567 463
415 1208 1571 2464
1435 3088 1944 1066
239 398 2814 882
1626 42 1225 5
2989 1675 2144 2743
3123 918 603 909
1591 2369 2926 1511
