1194 1061 1782
2372 2587 929
2931 2741 738
381 1269 455
243 692 2289
480 1902 2682
2465 1172 467
1565 711 2458
3091 2221 2499
1251 2228 2369
351 1689 776
1669 2172 1764
1395 1359 2143
1844 2017 409
2820 411 247
2911 87 2614
1812 2591 2918
2116 684 145
1648 1241 1870
2701 723 2935
3026 1226 542
1551 414 1877
747 2135 2577
1138 1797 2397
732 1072 1786
1383 825 2466
1831 1573 1297
266 2708 1139
945 47 23
268 2340 885
2396 2385 1524
19 1811 1240
2184 389 241
1316 1220 980
946 2767 2599
2714 2724 2665
664 2052 1555
2133 1564 917
2250 468 1632
2431 2907 2008
2088 2366 1304
173 1783 1282
3075 2303 514
1684 1026 1521
2573 2855 2668
2572 2188 1979
318 428 1685
1733 1166 642
723 11 2373
1930 937 1395
3106 1903 125
2975 453 1651
3045 654 628
2123 1466 1448
2462 228 2072
448 398 1854
799 739 2286
1619 1679 2881
2743 271 1808
2839 522 824
1449 1979 130
2567 2228 551
2439 1132 46
2103 1263 1946
47 1603 2560
2529 1029 2016
620 1230 928
1647 2144 2321
649 1737 2385
1549 671 1161
2514 2011 1505
704 1987 2487
922 2539 2744
1910 2146 375
2141 802 1722
1329 2382 2126
574 2388 1802
1240 866 2459
3114 1671 2583
1351 188 1941
692 553 1664
1771 1982 1255
1949 1276 1994
1638 196 1681
1601 2295 908
367 2922 458
2012 1831 1891
416 1011 1601
885 449 521
2662 2690 2074
1547 2915 1987
1445 1456 875
1828 1323 3037
1467 671 1075
2131 523 1252
2263 1540 1229
1387 1697 2341
2664 381 2812
3150 520 2446
360 2117 2455
1319 364 3119
2630 1563 1441
1939 1473 540
3122 100 501
942 1679 855
811 673 2721
2991 2143 175
2528 642 981
2277 2264 447
1319 1008 1814
143 2173 72
2659 410 2872
568 1243 1620
614 2131 3080
2047 1684 3001
591 1870 767
2064 1977 1155
874 2326 1735
2609 1602 507
1032 550 202
1454 2181 3102
1844 205 2189
1442 1541 1317
2952 1193 902
133 2090 1085
1919 2542 1349
1209 2793 1913
1591 2130 1009
791 214 2509
406 2420 1858
2498 1245 660
1519 2631 2613
1650 1378 2378
1779 256 1341
2892 85 1461
1523 186 459
1255 415 1260
2087 2446 3045
1197 3106 295
1729 2963 1938
928 1762 196
2078 3062 520
2683 1038 1088
3113 1782 943
1705 343 2024
482 16 690
2978 2566 2390
939 1621 2158
1600 1097 630
247 1652 2652
3072 2614 245
2555 1571 2973
2598 702 2514
2255 2129 2114
644 802 461
0 1735 2688
578 2734 353
3 2295 1201
1782 2494 2762
918 1239 2893
2118 1985 1656
1236 820 642
142 2967 2690
1989 363 712
3155 154 2728
1913 2150 1918
475 1191 2008
473 676 1049
1074 2154 2812
835 889 1995
1200 2187 56
1047 2446 2050
2529 620 3154
1746 1288 17
906 869 912
1726 2092 2811
2762 2085 2131
1906 2004 2212
209 1649 2069
2105 251 1386
512 208 925
831 1197 1765
701 2576 2543
1418 1480 700
2315 1261 543
619 2911 1452
263 2158 221
2885 2903 2894
937 2789 2247
1720 1532 857
2077 1342 1759
2117 86 386
1319 2498 2177
2349 931 873
1873 2868 145
1183 2239 289
688 2098 1795
919 105 2709
1148 3013 2389
1507 2329 3159
2264 942 219
1619 1237 3063
2286 1774 2137
89 1225 2757
2984 1902 2251
1642 1034 2343
679 741 1172
39 1124 2827
1871 2314 2981
1396 3107 2217
2609 1593 241
2793 2893 2363
1211 1604 447
514 2597 2160
2808 1818 1691
1497 1479 703
1303 2979 3134
954 846 768
2833 2156 2425
2554 1537 2441
448 1583 404
304 2369 2387
291 2002 819
487 928 1283
1305 2695 409
949 1938 2938
199 3139 562
674 2527 720
1304 2319 397
1715 2313 95
2963 540 1054
260 2928 2233
1612 1838 795
3035 2814 420
1177 602 1385
663 86 1941
1540 924 1556
1795 1592 1598
512 1920 153
1176 1185 2407
1657 1500 570
3075 3036 1766
1651 906 1526
624 1170 1407
922 1147 2889
2489 1532 1285
78 534 605
1721 883 688
2550 1154 915
429 1801 1387
2474 1223 179
2697 1157 377
1826 2583 1020
2372 1729 2950
2985 363 1108
2028 889 1685
0 77 980
2063 1786 761
614 235 516
194 2777 1040
672 2177 466
1445 2657 46
676 1656 2963
966 2417 768
2049 2484 594
406 2473 2267
916 184 1265
1871 569 1305
2163 2449 1905
1689 2571 2142
2813 401 53
2934 2828 3050
1611 1885 838
738 826 1940
2654 2750 2980
218 554 2082
492 2274 1759
2963 2738 2980
917 196 654
1388 2260 2458
1492 1834 1525
1967 954 1830
238 1782 117
2622 572 2381
2808 1246 890
1373 3136 1929
2746 1461 1154
2185 2239 2601
3037 3033 2593
3030 654 609
785 380 1737
1411 2300 1266
2303 2172 2763
51 2908 238
1755 330 1287
435 486 2796
2016 1017 2676
1654 1494 2307
538 332 553
1230 30 189
