1016 2941 1613 1105 2228
1513 1045 1441 3107 1191
937 1046 2001 2438 1362
853 201 2223 3102 1027
1582 2511 3031 1834 1174
2646 1973 1300 315 1331
15 474 1315 1799 499
780 2077 1830 1213 2613
147 1119 1267 1148 828
905 74 1173 2805 16
872 2318 944 198 2167
771 1568 1048 2939 720
295 73 790 2021 710
1955 1029 1537 1031 1896
884 18 2711 2593 2202
265 1440 2142 1826 1468
1174 1307 430 2517 2201
1671 2264 972 2409 1411
2657 1206 695 790 2204
420 587 792 1155 251
2183 1227 2364 2562 2513
1977 1533 1272 1711 1991
118 1023 1293 2536 2623
2497 1432 2354 2251 603
2740 1970 2608 241 1539
2627 650 939 1361 790
2067 1410 1451 1652 1102
1853 1202 2169 10 1809
758 357 2371 1937 2985
1367 709 537 308 1513
1089 2528 2226 2485 1331
2587 57 2566 1483 1740
549 455 751 619 874
1716 1865 1522 2647 325
825 2264 1812 1767 1940
1810 869 952 37 3004
488 2456 1493 1708 1451
1326 2405 1619 1891 2746
2730 2021 1034 189 122
1010 1224 925 734 2696
2951 1886 2414 441 2620
708 1155 2196 1323 3056
2565 1535 1170 2761 1972
1386 869 131 833 42
1206 1256 336 513 2420
2495 2033 70 2844 256
2462 2259 1654 33 393
157 1034 960 1889 1206
1529 732 1477 1436 1667
3033 3062 2158 1577 2873
3102 367 30 171 451
1003 2015 941 2064 335
530 1602 1675 2416 2217
816 2799 453 652 1824
1932 462 2063 555 211
1909 472 471 663 1742
1990 2614 2202 1921 2516
1948 292 2315 1902 2553
1758 398 3102 1162 2668
1463 1730 1345 2222 512
807 3026 667 2221 643
44 35 1175 1923 304
1374 1436 2627 503 104
909 2574 2611 1353 147
2428 46 239 2113 1234
2427 1209 1370 714 1934
117 518 1541 1535 1750
2556 2145 661 1512 80
778 2356 1867 1454 2048
1706 2230 1868 1145 1407
1925 1251 1958 1055 305
343 199 2031 2371 2685
2336 1164 276 1899 1961
2235 2572 2443 2193 402
39 752 1053 796 2222
2964 409 1124 1493 3118
2021 1216 85 479 1970
1678 1365 2113 1916 2708
3005 2552 2785 2218 1619
3030 1592 208 2844 2105
1137 3078 2822 786 719
2353 2205 2733 2651 544
263 2059 2712 1119 475
2817 2443 289 2083 1046
2017 2284 234 1031 751
1205 134 473 1955 1886
999 982 1286 815 1867
398 1947 2316 1984 150
1518 1951 918 630 687
1846 270 1863 1279 1373
917 2318 2558 2511 1475
2606 2664 281 1610 1077
14 171 2756 541 2829
162 2048 2334 1086 3079
1835 1487 2682 2346 1093
2267 720 1142 1570 285
237 1332 2233 28 1153
1598 400 1724 747 513
977 2653 1152 2312 1969
2306 2356 2344 1666 540
356 3101 1400 424 1781
780 1286 176 1731 2937
477 148 1206 1000 770
2962 2381 762 2088 1433
3005 608 3106 1209 2676
1967 1444 1189 2436 264
1372 1739 737 2312 1211
1373 1415 1918 694 1446
256 1143 2992 2589 12
34 2298 1726 259 2020
776 1028 1176 929 887
3066 1736 2282 714 293
771 722 2144 328 1730
1284 1742 729 79 1675
1397 1249 3051 2775 1839
1899 1087 287 3155 1046
648 332 2819 978 3104
1761 1334 2179 1663 1501
355 2352 1076 513 3
3000 1721 704 238 968
1863 2822 2279 1796 2525
808 1604 807 1016 1183
463 667 2798 2846 2313
2685 914 3023 62 707
1449 2130 463 1471 2908
1205 2005 1296 2428 598
275 2635 1416 159 1688
2284 3098 45 906 1463
1347 129 1660 2495 292
1180 2041 259 2422 1747
561 791 1640 747 1151
576 3083 721 2835 1031
2873 2384 974 1290 3010
2286 856 510 987 799
3111 2742 1832 1146 1531
2346 2213 1996 1793 3131
2301 1461 2059 153 1463
2291 2372 455 144 254
2351 534 2139 3135 1720
416 825 914 301 2495
1959 1805 623 1467 2913
342 1870 1306 1283 676
1579 1828 2811 1592 269
172 1283 1303 1691 356
157 2576 2540 2021 1470
1829 361 96 2236 2534
1658 1265 2009 1547 1411
2326 1817 459 1793 395
1519 2778 1670 2652 967
463 913 347 991 1250
2460 1991 799 92 803
2122 716 294 1825 2302
